,ID,Regular_Dine_Res,Dine_Other_Mex_Res,Income_15k_more,Fav_Mex_Res,Try_New_Things,Party_Person,People_Come_Me,No_Fried,Likes_Go_Out,Friends_Come_Me,Self_Confident,Eat_Balanced,Buy_New_Prods,Care_What_Eat,Try_New_Brands,Friendly_Employess,Fun_Place,Large_Portions,Fresh_Food,Good_Prices,Nice_Interior,Excellent_Taste,Knowledgeable_Employees,Proper_Food_Temp,Speed_Service,Satisfaction,Prob_Return,Prob_Recommend,Freq_Eat_At,Price,Food_Quality,Atmosphere,Service,Distance_Driven,Ad_Recall,Gender,N_Children,Age,Income,Innovator,Health_Conscious,Opinion_Leader,Outgoing,Service_v2,Food,Value,Atmosphere_V2
10,33.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,4.0,6.0,3.0,5.0,5.0,6.0,2.0,7.0,2.0,7.0,5.0,3.0,5.0,7.0,5.0,3.0,7.0,4.0,7.0,7.0,5.0,6.0,4.0,5.0,4.0,3.0,1.0,2.0,2.0,Recall Ads,Male,2.0,3.0,22000.0,7.0,2.333333333333333,5.666666666666667,4.5,5.333333333333333,7.0,5.0,3.0
11,34.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,4.0,5.0,3.0,3.0,5.0,5.0,3.0,7.0,3.0,7.0,5.0,3.0,4.0,7.0,4.0,3.0,7.0,4.0,6.0,7.0,6.0,6.0,5.0,5.0,1.0,2.0,3.0,4.0,2.0,Recall Ads,Male,3.0,3.0,85000.0,7.0,3.0,5.0,3.5,5.333333333333333,6.666666666666667,4.0,3.0
12,37.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,5.0,5.0,3.0,5.0,5.0,6.0,5.0,7.0,4.0,7.0,5.0,3.0,4.0,7.0,4.0,5.0,5.0,4.0,5.0,7.0,7.0,6.0,6.0,4.0,4.0,3.0,1.0,2.0,3.0,Recall Ads,Female,2.0,3.0,140000.0,7.0,4.0,5.333333333333333,5.0,5.333333333333333,5.666666666666667,4.0,4.0
13,39.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,6.0,7.0,3.0,6.0,7.0,7.0,2.0,6.0,4.0,7.0,5.0,4.0,6.0,7.0,6.0,5.0,7.0,7.0,5.0,7.0,6.0,6.0,5.0,4.0,4.0,3.0,1.0,2.0,1.0,Recall Ads,Female,3.0,2.0,90000.0,6.666666666666667,3.0,7.0,6.0,6.333333333333333,6.333333333333333,6.0,4.5
14,41.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,5.0,5.0,3.0,2.0,5.0,5.0,4.0,7.0,4.0,7.0,5.0,2.0,3.0,7.0,3.0,2.0,6.0,4.0,5.0,7.0,4.0,4.0,4.0,3.0,4.0,3.0,1.0,2.0,2.0,Recall Ads,Male,2.0,2.0,22000.0,7.0,3.6666666666666665,5.0,3.5,5.333333333333333,6.0,3.0,2.0
15,42.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,5.0,6.0,3.0,5.0,5.0,6.0,4.0,6.0,4.0,7.0,5.0,6.0,4.0,7.0,4.0,6.0,6.0,6.0,5.0,7.0,7.0,6.0,6.0,5.0,1.0,2.0,3.0,4.0,3.0,Recall Ads,Female,3.0,2.0,95000.0,6.666666666666667,3.6666666666666665,5.666666666666667,5.0,6.0,6.0,4.0,6.0
16,43.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,3.0,5.0,4.0,3.0,5.0,5.0,5.0,6.0,4.0,7.0,5.0,4.0,3.0,6.0,3.0,5.0,5.0,7.0,5.0,7.0,5.0,6.0,4.0,4.0,4.0,2.0,3.0,1.0,2.0,Recall Ads,Male,2.0,3.0,70000.0,6.666666666666667,4.333333333333333,5.0,3.0,6.333333333333333,5.333333333333333,3.0,4.5
17,44.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,5.0,5.0,2.0,6.0,5.0,5.0,4.0,7.0,5.0,4.0,5.0,4.0,4.0,7.0,4.0,4.0,6.0,4.0,3.0,4.0,5.0,5.0,5.0,3.0,4.0,2.0,3.0,1.0,3.0,Do Not Recall Ads,Male,1.0,2.0,90000.0,6.0,3.6666666666666665,5.0,5.5,4.333333333333333,5.333333333333333,4.0,4.0
18,48.0,1.0,1.0,1.0,Jose's Southwestern Cafe,4.0,3.0,5.0,4.0,3.0,5.0,5.0,5.0,7.0,5.0,4.0,4.0,3.0,4.0,6.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,1.0,3.0,3.0,Do Not Recall Ads,Male,1.0,3.0,55000.0,5.0,4.666666666666667,5.0,3.0,4.0,4.666666666666667,4.0,3.0
19,49.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,5.0,6.0,3.0,5.0,5.0,6.0,5.0,7.0,5.0,7.0,5.0,4.0,5.0,7.0,4.0,5.0,5.0,4.0,3.0,7.0,7.0,6.0,6.0,5.0,4.0,3.0,1.0,2.0,2.0,Recall Ads,Female,2.0,3.0,115000.0,7.0,4.333333333333333,5.666666666666667,5.0,5.333333333333333,5.0,4.5,4.5
20,55.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,4.0,5.0,3.0,5.0,5.0,6.0,3.0,7.0,5.0,7.0,5.0,4.0,4.0,7.0,4.0,3.0,7.0,4.0,3.0,7.0,4.0,3.0,2.0,2.0,4.0,2.0,3.0,1.0,2.0,Do Not Recall Ads,Male,2.0,4.0,24000.0,7.0,3.6666666666666665,5.333333333333333,4.5,5.333333333333333,5.666666666666667,4.0,3.5
21,59.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,7.0,4.0,7.0,5.0,4.0,3.0,6.0,3.0,4.0,6.0,4.0,5.0,7.0,5.0,4.0,3.0,3.0,4.0,2.0,3.0,1.0,3.0,Recall Ads,Male,1.0,3.0,70000.0,7.0,4.0,4.333333333333333,5.0,5.333333333333333,5.666666666666667,3.0,4.0
22,60.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,5.0,6.0,4.0,5.0,5.0,6.0,3.0,7.0,3.0,7.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,4.0,6.0,7.0,7.0,7.0,6.0,3.0,4.0,3.0,1.0,2.0,2.0,Recall Ads,Female,1.0,5.0,120000.0,7.0,3.333333333333333,5.666666666666667,5.0,5.333333333333333,6.0,6.0,5.5
23,63.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,4.0,5.0,2.0,4.0,5.0,6.0,3.0,7.0,3.0,7.0,5.0,5.0,4.0,7.0,4.0,5.0,7.0,4.0,6.0,7.0,6.0,6.0,5.0,5.0,1.0,3.0,4.0,2.0,1.0,Recall Ads,Male,2.0,3.0,90000.0,7.0,2.6666666666666665,5.333333333333333,4.0,5.333333333333333,6.666666666666667,4.0,5.0
24,64.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,4.0,5.0,3.0,4.0,5.0,6.0,4.0,7.0,5.0,4.0,5.0,4.0,4.0,7.0,4.0,4.0,6.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,1.0,2.0,3.0,Do Not Recall Ads,Male,1.0,2.0,25000.0,6.0,4.0,5.333333333333333,4.0,4.333333333333333,5.333333333333333,4.0,4.0
25,69.0,1.0,1.0,1.0,Jose's Southwestern Cafe,3.0,5.0,7.0,4.0,5.0,7.0,7.0,3.0,7.0,3.0,4.0,3.0,5.0,6.0,6.0,6.0,5.0,7.0,4.0,6.0,4.0,6.0,5.0,5.0,4.0,4.0,1.0,2.0,3.0,2.0,Recall Ads,Female,2.0,2.0,110000.0,4.666666666666667,3.333333333333333,7.0,5.0,3.6666666666666665,6.333333333333333,6.0,5.0
26,70.0,1.0,1.0,1.0,Jose's Southwestern Cafe,4.0,3.0,5.0,4.0,2.0,5.0,6.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,6.0,4.0,5.0,6.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,1.0,2.0,3.0,Do Not Recall Ads,Male,1.0,3.0,65000.0,4.0,4.333333333333333,5.333333333333333,2.5,3.6666666666666665,5.333333333333333,4.0,5.0
27,72.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,5.0,6.0,2.0,6.0,5.0,2.0,3.0,7.0,3.0,7.0,5.0,5.0,5.0,7.0,4.0,5.0,7.0,4.0,6.0,7.0,6.0,6.0,6.0,5.0,4.0,3.0,1.0,2.0,2.0,Recall Ads,Female,2.0,3.0,130000.0,7.0,2.6666666666666665,4.333333333333333,5.5,5.333333333333333,6.666666666666667,4.5,5.0
28,73.0,1.0,1.0,1.0,Jose's Southwestern Cafe,4.0,4.0,6.0,3.0,4.0,6.0,2.0,3.0,7.0,3.0,7.0,4.0,5.0,5.0,7.0,5.0,5.0,7.0,4.0,6.0,7.0,5.0,5.0,4.0,4.0,4.0,3.0,1.0,2.0,3.0,Do Not Recall Ads,Female,1.0,3.0,100000.0,6.0,3.0,4.666666666666667,4.0,5.0,6.666666666666667,5.0,5.0
29,78.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,7.0,6.0,7.0,5.0,4.0,3.0,5.0,3.0,4.0,5.0,4.0,2.0,7.0,5.0,4.0,2.0,3.0,2.0,4.0,3.0,1.0,2.0,Do Not Recall Ads,Male,2.0,3.0,60000.0,7.0,5.333333333333333,4.0,4.0,5.333333333333333,4.0,3.0,4.0
30,83.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,5.0,5.0,3.0,7.0,5.0,6.0,3.0,7.0,5.0,7.0,5.0,4.0,4.0,7.0,4.0,4.0,7.0,4.0,3.0,7.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,1.0,2.0,Do Not Recall Ads,Male,2.0,4.0,20000.0,7.0,3.6666666666666665,5.333333333333333,6.0,5.333333333333333,5.666666666666667,4.0,4.0
31,89.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,6.0,6.0,2.0,6.0,6.0,6.0,4.0,6.0,4.0,7.0,5.0,6.0,5.0,7.0,5.0,6.0,6.0,6.0,5.0,7.0,4.0,4.0,3.0,5.0,4.0,2.0,3.0,1.0,1.0,Recall Ads,Female,3.0,1.0,20000.0,6.666666666666667,3.333333333333333,6.0,6.0,6.0,6.0,5.0,6.0
32,90.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,7.0,4.0,7.0,5.0,4.0,3.0,6.0,3.0,3.0,6.0,4.0,5.0,7.0,6.0,4.0,3.0,3.0,2.0,4.0,1.0,3.0,3.0,Recall Ads,Male,1.0,3.0,60000.0,7.0,4.0,4.333333333333333,5.0,5.333333333333333,5.666666666666667,3.0,3.5
33,91.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,4.0,6.0,2.0,4.0,6.0,2.0,3.0,6.0,3.0,7.0,5.0,6.0,3.0,7.0,3.0,6.0,6.0,7.0,6.0,7.0,7.0,6.0,6.0,5.0,4.0,3.0,1.0,2.0,1.0,Recall Ads,Female,3.0,1.0,135000.0,6.666666666666667,2.6666666666666665,4.666666666666667,4.0,6.333333333333333,6.333333333333333,3.0,6.0
34,96.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,5.0,6.0,2.0,5.0,6.0,6.0,2.0,7.0,2.0,7.0,5.0,3.0,5.0,7.0,5.0,3.0,7.0,4.0,7.0,7.0,7.0,6.0,6.0,5.0,2.0,4.0,3.0,1.0,2.0,Recall Ads,Male,2.0,3.0,155000.0,7.0,2.0,6.0,5.0,5.333333333333333,7.0,5.0,3.0
35,97.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,3.0,6.0,2.0,3.0,6.0,6.0,3.0,7.0,3.0,7.0,5.0,3.0,4.0,7.0,4.0,3.0,7.0,4.0,6.0,7.0,6.0,6.0,4.0,5.0,3.0,4.0,1.0,2.0,1.0,Recall Ads,Male,3.0,3.0,85000.0,7.0,2.6666666666666665,6.0,3.0,5.333333333333333,6.666666666666667,4.0,3.0
36,100.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,7.0,4.0,7.0,5.0,3.0,4.0,7.0,4.0,5.0,5.0,4.0,5.0,7.0,7.0,7.0,6.0,4.0,4.0,2.0,3.0,1.0,3.0,Recall Ads,Female,3.0,3.0,145000.0,7.0,4.0,5.0,4.0,5.333333333333333,5.666666666666667,4.0,4.0
37,102.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,3.0,7.0,3.0,3.0,7.0,7.0,2.0,6.0,4.0,7.0,5.0,4.0,6.0,7.0,6.0,5.0,7.0,7.0,5.0,7.0,5.0,6.0,4.0,4.0,2.0,4.0,3.0,1.0,3.0,Recall Ads,Female,3.0,2.0,80000.0,6.666666666666667,3.0,7.0,3.0,6.333333333333333,6.333333333333333,6.0,4.5
38,104.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,7.0,4.0,3.0,7.0,4.0,5.0,4.0,7.0,4.0,7.0,5.0,2.0,3.0,7.0,3.0,2.0,6.0,4.0,5.0,7.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,1.0,1.0,Recall Ads,Male,2.0,2.0,25000.0,7.0,3.6666666666666665,4.333333333333333,7.0,5.333333333333333,6.0,3.0,2.0
39,105.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,5.0,5.0,3.0,6.0,5.0,5.0,4.0,6.0,4.0,7.0,5.0,6.0,4.0,7.0,4.0,6.0,6.0,6.0,5.0,7.0,5.0,4.0,4.0,5.0,3.0,4.0,1.0,2.0,1.0,Recall Ads,Female,3.0,2.0,25000.0,6.666666666666667,3.6666666666666665,5.0,5.5,6.0,6.0,4.0,6.0
40,106.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,6.0,4.0,7.0,5.0,4.0,3.0,6.0,3.0,5.0,5.0,7.0,5.0,7.0,5.0,6.0,4.0,4.0,3.0,4.0,1.0,2.0,2.0,Recall Ads,Male,2.0,3.0,60000.0,6.666666666666667,4.333333333333333,4.333333333333333,5.0,6.333333333333333,5.333333333333333,3.0,4.5
41,107.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,5.0,5.0,2.0,7.0,5.0,5.0,4.0,7.0,5.0,4.0,5.0,4.0,4.0,7.0,4.0,4.0,6.0,4.0,3.0,4.0,6.0,6.0,6.0,3.0,3.0,4.0,1.0,2.0,3.0,Do Not Recall Ads,Male,1.0,2.0,850000.0,6.0,3.6666666666666665,5.0,6.0,4.333333333333333,5.333333333333333,4.0,4.0
42,111.0,1.0,1.0,1.0,Jose's Southwestern Cafe,4.0,3.0,5.0,4.0,3.0,5.0,5.0,5.0,7.0,5.0,4.0,4.0,3.0,4.0,6.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,1.0,2.0,3.0,Do Not Recall Ads,Male,1.0,3.0,80000.0,5.0,4.666666666666667,5.0,3.0,4.0,4.666666666666667,4.0,3.0
43,112.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,5.0,6.0,3.0,6.0,5.0,5.0,5.0,7.0,5.0,7.0,5.0,4.0,5.0,7.0,4.0,5.0,5.0,4.0,3.0,7.0,7.0,6.0,6.0,5.0,4.0,2.0,3.0,1.0,2.0,Do Not Recall Ads,Female,2.0,3.0,125000.0,7.0,4.333333333333333,5.333333333333333,5.5,5.333333333333333,5.0,4.5,4.5
44,118.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,7.0,5.0,7.0,5.0,4.0,4.0,7.0,4.0,3.0,6.0,4.0,3.0,7.0,4.0,3.0,2.0,3.0,4.0,2.0,3.0,1.0,2.0,Do Not Recall Ads,Male,2.0,4.0,28000.0,7.0,3.6666666666666665,5.0,5.0,5.333333333333333,5.333333333333333,4.0,3.5
45,122.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,7.0,4.0,7.0,5.0,4.0,3.0,6.0,3.0,4.0,6.0,4.0,5.0,7.0,5.0,4.0,3.0,3.0,1.0,4.0,2.0,3.0,3.0,Recall Ads,Male,1.0,3.0,75000.0,7.0,4.0,4.333333333333333,4.5,5.333333333333333,5.666666666666667,3.0,4.0
46,123.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,7.0,7.0,4.0,7.0,7.0,6.0,3.0,7.0,3.0,7.0,5.0,6.0,6.0,6.0,6.0,5.0,7.0,4.0,6.0,7.0,7.0,6.0,5.0,3.0,4.0,2.0,3.0,1.0,2.0,Recall Ads,Female,2.0,4.0,100000.0,7.0,3.333333333333333,6.666666666666667,7.0,5.333333333333333,6.333333333333333,6.0,5.5
47,126.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,6.0,6.0,2.0,6.0,6.0,6.0,3.0,7.0,3.0,7.0,5.0,5.0,4.0,7.0,4.0,5.0,7.0,4.0,6.0,7.0,6.0,6.0,5.0,5.0,3.0,2.0,1.0,4.0,1.0,Recall Ads,Male,2.0,3.0,80000.0,7.0,2.6666666666666665,6.0,6.0,5.333333333333333,6.666666666666667,4.0,5.0
48,127.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,4.0,5.0,3.0,4.0,5.0,6.0,4.0,7.0,5.0,4.0,5.0,4.0,4.0,7.0,4.0,4.0,6.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,1.0,3.0,Do Not Recall Ads,Male,1.0,2.0,40000.0,6.0,4.0,5.333333333333333,4.0,4.333333333333333,5.333333333333333,4.0,4.0
49,132.0,1.0,1.0,1.0,Jose's Southwestern Cafe,3.0,4.0,7.0,4.0,4.0,7.0,2.0,3.0,7.0,3.0,4.0,3.0,5.0,6.0,6.0,6.0,5.0,7.0,4.0,6.0,4.0,7.0,6.0,5.0,4.0,4.0,2.0,3.0,1.0,2.0,Recall Ads,Female,2.0,2.0,140000.0,4.666666666666667,3.333333333333333,5.333333333333333,4.0,3.6666666666666665,6.333333333333333,6.0,5.0
50,133.0,1.0,1.0,1.0,Jose's Southwestern Cafe,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,6.0,4.0,3.0,6.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,2.0,1.0,3.0,3.0,Do Not Recall Ads,Male,1.0,3.0,65000.0,4.0,4.333333333333333,5.0,5.0,3.6666666666666665,5.333333333333333,4.0,3.0
51,135.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,7.0,6.0,2.0,6.0,5.0,2.0,3.0,7.0,3.0,7.0,5.0,5.0,5.0,7.0,4.0,5.0,7.0,4.0,6.0,7.0,6.0,6.0,6.0,5.0,4.0,2.0,1.0,3.0,2.0,Recall Ads,Female,2.0,3.0,120000.0,7.0,2.6666666666666665,4.333333333333333,6.5,5.333333333333333,6.666666666666667,4.5,5.0
52,136.0,1.0,1.0,1.0,Jose's Southwestern Cafe,4.0,4.0,6.0,3.0,4.0,6.0,6.0,3.0,7.0,3.0,7.0,4.0,4.0,5.0,7.0,5.0,4.0,7.0,4.0,6.0,7.0,5.0,5.0,4.0,4.0,4.0,2.0,1.0,3.0,3.0,Do Not Recall Ads,Female,1.0,3.0,115000.0,6.0,3.0,6.0,4.0,5.0,6.666666666666667,5.0,4.0
53,141.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,4.0,4.0,5.0,2.0,4.0,5.0,5.0,7.0,6.0,7.0,5.0,4.0,3.0,5.0,3.0,4.0,5.0,4.0,3.0,7.0,5.0,4.0,2.0,3.0,1.0,4.0,3.0,2.0,2.0,Do Not Recall Ads,Male,2.0,3.0,60000.0,7.0,5.333333333333333,4.333333333333333,3.0,5.333333333333333,4.333333333333333,3.0,4.0
54,146.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,5.0,5.0,3.0,7.0,5.0,4.0,3.0,7.0,5.0,7.0,5.0,4.0,4.0,7.0,4.0,4.0,7.0,4.0,3.0,7.0,6.0,5.0,5.0,3.0,2.0,4.0,3.0,1.0,3.0,Do Not Recall Ads,Male,1.0,4.0,85000.0,7.0,3.6666666666666665,4.666666666666667,6.0,5.333333333333333,5.666666666666667,4.0,4.0
55,152.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,6.0,6.0,2.0,6.0,6.0,3.0,4.0,6.0,4.0,7.0,5.0,6.0,5.0,7.0,5.0,6.0,6.0,6.0,5.0,7.0,5.0,5.0,5.0,5.0,3.0,4.0,1.0,2.0,1.0,Recall Ads,Female,3.0,1.0,18000.0,6.666666666666667,3.333333333333333,5.0,6.0,6.0,6.0,5.0,6.0
56,153.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,7.0,4.0,7.0,5.0,4.0,3.0,6.0,3.0,3.0,6.0,4.0,5.0,7.0,6.0,4.0,3.0,3.0,2.0,4.0,3.0,1.0,3.0,Recall Ads,Male,1.0,3.0,75000.0,7.0,4.0,5.666666666666667,5.0,5.333333333333333,5.666666666666667,3.0,3.5
57,154.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,6.0,6.0,2.0,6.0,6.0,2.0,3.0,6.0,3.0,7.0,5.0,6.0,3.0,7.0,3.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,5.0,4.0,2.0,3.0,1.0,1.0,Recall Ads,Female,3.0,1.0,125000.0,6.666666666666667,2.6666666666666665,4.666666666666667,6.0,6.333333333333333,6.333333333333333,3.0,6.0
58,159.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,5.0,6.0,2.0,7.0,6.0,5.0,2.0,7.0,2.0,7.0,5.0,3.0,5.0,7.0,5.0,3.0,7.0,4.0,7.0,7.0,5.0,6.0,4.0,5.0,4.0,2.0,3.0,1.0,2.0,Recall Ads,Male,2.0,3.0,18000.0,7.0,2.0,5.666666666666667,6.0,5.333333333333333,7.0,5.0,3.0
