,ID,Regularly Dine at Casual Dining Restaurants,Have Dined at Other Mexican Restaurants In last 6 Months,"Gross Annual Income $15,000 or More",Favorite Mexican Restaurant,X1 -- Try New and Different Things,X2 -- Party Person,X3 -- People Come to Me,X4 -- Avoid Fried Foods,X5 -- Likes to Go Out Socially,X6 -- Friends Come to Me,X7 -- Self-Confident,"X8 -- Eat Balanced, Nutritious Meals",X9 -- Buy New Products,X10 -- Careful about What I Eat,X11 -- Try New Brands,X12 -- Friendly Employees,X13 -- Fun Place to Eat,X14 -- Large Size Portions,X15 -- Fresh Food,X16 -- Reasonable Prices,X17 -- Attractive Interior,X18 -- Excellent Food Taste,X19 -- Knowledgeable Employees,X20 -- Proper Food Temperature,X21 -- Speed of Service,X22 -- Satisfaction,X23 -- Likely to Return,X24 -- Likely to Recommend,X25 -- Frequency of Eating at  . . .  ??,X26 -- Price,X27 -- Food Quality,X28 -- Atmosphere,X29 -- Service,x30 -- Distance Driven,X31 -- Ad Recall,X32 -- Gender,X33 -- Number of Children at Home,X34 -- Age,X35 -- Income,X36 -- Innovator,X37 -- Health Conscious,X38 -- Opinion Leader,X39 -- Outgoing,X40 -- Service,X41 -- Food,X42 -- Value,X43 -- Atmosphere
10,33.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,4.0,6.0,3.0,5.0,5.0,6.0,2.0,Strongly Agree,2.0,Strongly Agree,5.0,3.0,5.0,Strongly Agree,5.0,3.0,Strongly Agree,4.0,Strongly Agree,Strongly Agree,5.0,6.0,4.0,Very Frequently,Most Important,3.0,Least Important,2.0,1 -- 5 miles,Recall Ads,Male,1-2 Children at Home,35 - 49,22000.0,Strongly Agree,2.3333333333333335,5.666666666666667,4.5,5.333333333333333,Strongly Agree,5.0,3.0
11,34.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,4.0,5.0,3.0,3.0,5.0,5.0,3.0,Strongly Agree,3.0,Strongly Agree,5.0,3.0,4.0,Strongly Agree,4.0,3.0,Strongly Agree,4.0,6.0,Strongly Agree,6.0,6.0,5.0,Very Frequently,Least Important,2.0,3.0,Most Important,1 -- 5 miles,Recall Ads,Male,More Than 2 Children at Home,35 - 49,85000.0,Strongly Agree,3.0,5.0,3.5,5.333333333333333,6.666666666666667,4.0,3.0
12,37.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,5.0,5.0,3.0,5.0,5.0,6.0,5.0,Strongly Agree,4.0,Strongly Agree,5.0,3.0,4.0,Strongly Agree,4.0,5.0,5.0,4.0,5.0,Strongly Agree,7 = Highly Satisfied,6.0,6.0,Somewhat Frequently,Most Important,3.0,Least Important,2.0,More than 5 miles,Recall Ads,Female,1-2 Children at Home,35 - 49,140000.0,Strongly Agree,4.0,5.333333333333333,5.0,5.333333333333333,5.666666666666667,4.0,4.0
13,39.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,6.0,Strongly Agree,3.0,6.0,Strongly Agree,Strongly Agree,2.0,6.0,4.0,Strongly Agree,5.0,4.0,6.0,Strongly Agree,6.0,5.0,Strongly Agree,Strongly Agree,5.0,Strongly Agree,6.0,6.0,5.0,Somewhat Frequently,Most Important,3.0,Least Important,2.0,Less than 1 mile,Recall Ads,Female,More Than 2 Children at Home,26 - 34,90000.0,6.666666666666667,3.0,Strongly Agree,6.0,6.333333333333333,6.333333333333333,6.0,4.5
14,41.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,5.0,5.0,3.0,2.0,5.0,5.0,4.0,Strongly Agree,4.0,Strongly Agree,5.0,2.0,3.0,Strongly Agree,3.0,2.0,6.0,4.0,5.0,Strongly Agree,4.0,4.0,4.0,Occasionally,Most Important,3.0,Least Important,2.0,1 -- 5 miles,Recall Ads,Male,1-2 Children at Home,26 - 34,22000.0,Strongly Agree,3.6666666666666665,5.0,3.5,5.333333333333333,6.0,3.0,2.0
15,42.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,5.0,6.0,3.0,5.0,5.0,6.0,4.0,6.0,4.0,Strongly Agree,5.0,6.0,4.0,Strongly Agree,4.0,6.0,6.0,6.0,5.0,Strongly Agree,7 = Highly Satisfied,6.0,6.0,Very Frequently,Least Important,2.0,3.0,Most Important,More than 5 miles,Recall Ads,Female,More Than 2 Children at Home,26 - 34,95000.0,6.666666666666667,3.6666666666666665,5.666666666666667,5.0,6.0,6.0,4.0,6.0
16,43.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,3.0,5.0,4.0,3.0,5.0,5.0,5.0,6.0,4.0,Strongly Agree,5.0,4.0,3.0,6.0,3.0,5.0,5.0,Strongly Agree,5.0,Strongly Agree,5.0,6.0,4.0,Somewhat Frequently,Most Important,2.0,3.0,Least Important,1 -- 5 miles,Recall Ads,Male,1-2 Children at Home,35 - 49,70000.0,6.666666666666667,4.333333333333333,5.0,3.0,6.333333333333333,5.333333333333333,3.0,4.5
17,44.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,5.0,5.0,2.0,6.0,5.0,5.0,4.0,Strongly Agree,5.0,4.0,5.0,4.0,4.0,Strongly Agree,4.0,4.0,6.0,4.0,3.0,4.0,5.0,5.0,5.0,Occasionally,Most Important,2.0,3.0,Least Important,More than 5 miles,Do Not Recall Ads,Male,No Children at Home,26 - 34,90000.0,6.0,3.6666666666666665,5.0,5.5,4.333333333333333,5.333333333333333,4.0,4.0
18,48.0,1.0,1.0,1.0,Jose's Southwestern Cafe,4.0,3.0,5.0,4.0,3.0,5.0,5.0,5.0,Strongly Agree,5.0,4.0,4.0,3.0,4.0,6.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,3.0,2.0,Somewhat Infrequently,Most Important,2.0,Least Important,3.0,More than 5 miles,Do Not Recall Ads,Male,No Children at Home,35 - 49,55000.0,5.0,4.666666666666667,5.0,3.0,4.0,4.666666666666667,4.0,3.0
19,49.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,5.0,6.0,3.0,5.0,5.0,6.0,5.0,Strongly Agree,5.0,Strongly Agree,5.0,4.0,5.0,Strongly Agree,4.0,5.0,5.0,4.0,3.0,Strongly Agree,7 = Highly Satisfied,6.0,6.0,Very Frequently,Most Important,3.0,Least Important,2.0,1 -- 5 miles,Recall Ads,Female,1-2 Children at Home,35 - 49,115000.0,Strongly Agree,4.333333333333333,5.666666666666667,5.0,5.333333333333333,5.0,4.5,4.5
20,55.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,4.0,5.0,3.0,5.0,5.0,6.0,3.0,Strongly Agree,5.0,Strongly Agree,5.0,4.0,4.0,Strongly Agree,4.0,3.0,Strongly Agree,4.0,3.0,Strongly Agree,4.0,3.0,2.0,Somewhat Infrequently,Most Important,2.0,3.0,Least Important,1 -- 5 miles,Do Not Recall Ads,Male,1-2 Children at Home,50 - 59,24000.0,Strongly Agree,3.6666666666666665,5.333333333333333,4.5,5.333333333333333,5.666666666666667,4.0,3.5
21,59.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,5.0,4.0,4.0,5.0,4.0,5.0,4.0,Strongly Agree,4.0,Strongly Agree,5.0,4.0,3.0,6.0,3.0,4.0,6.0,4.0,5.0,Strongly Agree,5.0,4.0,3.0,Occasionally,Most Important,2.0,3.0,Least Important,More than 5 miles,Recall Ads,Male,No Children at Home,35 - 49,70000.0,Strongly Agree,4.0,4.333333333333333,5.0,5.333333333333333,5.666666666666667,3.0,4.0
22,60.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,5.0,6.0,4.0,5.0,5.0,6.0,3.0,Strongly Agree,3.0,Strongly Agree,5.0,6.0,6.0,6.0,6.0,5.0,6.0,4.0,6.0,Strongly Agree,7 = Highly Satisfied,Highly Likely,6.0,Occasionally,Most Important,3.0,Least Important,2.0,1 -- 5 miles,Recall Ads,Female,No Children at Home,60 and Over,120000.0,Strongly Agree,3.3333333333333335,5.666666666666667,5.0,5.333333333333333,6.0,6.0,5.5
23,63.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,4.0,5.0,2.0,4.0,5.0,6.0,3.0,Strongly Agree,3.0,Strongly Agree,5.0,5.0,4.0,Strongly Agree,4.0,5.0,Strongly Agree,4.0,6.0,Strongly Agree,6.0,6.0,5.0,Very Frequently,Least Important,3.0,Most Important,2.0,Less than 1 mile,Recall Ads,Male,1-2 Children at Home,35 - 49,90000.0,Strongly Agree,2.6666666666666665,5.333333333333333,4.0,5.333333333333333,6.666666666666667,4.0,5.0
24,64.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,4.0,5.0,3.0,4.0,5.0,6.0,4.0,Strongly Agree,5.0,4.0,5.0,4.0,4.0,Strongly Agree,4.0,4.0,6.0,4.0,3.0,4.0,4.0,4.0,3.0,Occasionally,Most Important,3.0,Least Important,2.0,More than 5 miles,Do Not Recall Ads,Male,No Children at Home,26 - 34,25000.0,6.0,4.0,5.333333333333333,4.0,4.333333333333333,5.333333333333333,4.0,4.0
25,69.0,1.0,1.0,1.0,Jose's Southwestern Cafe,3.0,5.0,Strongly Agree,4.0,5.0,Strongly Agree,Strongly Agree,3.0,Strongly Agree,3.0,4.0,3.0,5.0,6.0,6.0,6.0,5.0,Strongly Agree,4.0,6.0,4.0,6.0,5.0,5.0,Somewhat Frequently,Most Important,Least Important,2.0,3.0,1 -- 5 miles,Recall Ads,Female,1-2 Children at Home,26 - 34,110000.0,4.666666666666667,3.3333333333333335,Strongly Agree,5.0,3.6666666666666665,6.333333333333333,6.0,5.0
26,70.0,1.0,1.0,1.0,Jose's Southwestern Cafe,4.0,3.0,5.0,4.0,2.0,5.0,6.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,6.0,4.0,5.0,6.0,3.0,4.0,4.0,4.0,3.0,2.0,Occasionally,3.0,Most Important,Least Important,2.0,More than 5 miles,Do Not Recall Ads,Male,No Children at Home,35 - 49,65000.0,4.0,4.333333333333333,5.333333333333333,2.5,3.6666666666666665,5.333333333333333,4.0,5.0
27,72.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,5.0,6.0,2.0,6.0,5.0,2.0,3.0,Strongly Agree,3.0,Strongly Agree,5.0,5.0,5.0,Strongly Agree,4.0,5.0,Strongly Agree,4.0,6.0,Strongly Agree,6.0,6.0,6.0,Very Frequently,Most Important,3.0,Least Important,2.0,1 -- 5 miles,Recall Ads,Female,1-2 Children at Home,35 - 49,130000.0,Strongly Agree,2.6666666666666665,4.333333333333333,5.5,5.333333333333333,6.666666666666667,4.5,5.0
28,73.0,1.0,1.0,1.0,Jose's Southwestern Cafe,4.0,4.0,6.0,3.0,4.0,6.0,2.0,3.0,Strongly Agree,3.0,Strongly Agree,4.0,5.0,5.0,Strongly Agree,5.0,5.0,Strongly Agree,4.0,6.0,Strongly Agree,5.0,5.0,4.0,Somewhat Frequently,Most Important,3.0,Least Important,2.0,More than 5 miles,Do Not Recall Ads,Female,No Children at Home,35 - 49,100000.0,6.0,3.0,4.666666666666667,4.0,5.0,6.666666666666667,5.0,5.0
29,78.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,4.0,4.0,5.0,4.0,4.0,4.0,5.0,Strongly Agree,6.0,Strongly Agree,5.0,4.0,3.0,5.0,3.0,4.0,5.0,4.0,2.0,Strongly Agree,5.0,4.0,2.0,Occasionally,2.0,Most Important,3.0,Least Important,1 -- 5 miles,Do Not Recall Ads,Male,1-2 Children at Home,35 - 49,60000.0,Strongly Agree,5.333333333333333,4.0,4.0,5.333333333333333,4.0,3.0,4.0
30,83.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,5.0,5.0,3.0,Strongly Agree,5.0,6.0,3.0,Strongly Agree,5.0,Strongly Agree,5.0,4.0,4.0,Strongly Agree,4.0,4.0,Strongly Agree,4.0,3.0,Strongly Agree,4.0,3.0,2.0,Occasionally,2.0,Most Important,3.0,Least Important,1 -- 5 miles,Do Not Recall Ads,Male,1-2 Children at Home,50 - 59,20000.0,Strongly Agree,3.6666666666666665,5.333333333333333,6.0,5.333333333333333,5.666666666666667,4.0,4.0
31,89.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,6.0,6.0,2.0,6.0,6.0,6.0,4.0,6.0,4.0,Strongly Agree,5.0,6.0,5.0,Strongly Agree,5.0,6.0,6.0,6.0,5.0,Strongly Agree,4.0,4.0,3.0,Very Frequently,Most Important,2.0,3.0,Least Important,Less than 1 mile,Recall Ads,Female,More Than 2 Children at Home,18 - 25,20000.0,6.666666666666667,3.3333333333333335,6.0,6.0,6.0,6.0,5.0,6.0
32,90.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,5.0,4.0,4.0,5.0,4.0,5.0,4.0,Strongly Agree,4.0,Strongly Agree,5.0,4.0,3.0,6.0,3.0,3.0,6.0,4.0,5.0,Strongly Agree,6.0,4.0,3.0,Occasionally,2.0,Most Important,Least Important,3.0,More than 5 miles,Recall Ads,Male,No Children at Home,35 - 49,60000.0,Strongly Agree,4.0,4.333333333333333,5.0,5.333333333333333,5.666666666666667,3.0,3.5
33,91.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,4.0,6.0,2.0,4.0,6.0,2.0,3.0,6.0,3.0,Strongly Agree,5.0,6.0,3.0,Strongly Agree,3.0,6.0,6.0,Strongly Agree,6.0,Strongly Agree,7 = Highly Satisfied,6.0,6.0,Very Frequently,Most Important,3.0,Least Important,2.0,Less than 1 mile,Recall Ads,Female,More Than 2 Children at Home,18 - 25,135000.0,6.666666666666667,2.6666666666666665,4.666666666666667,4.0,6.333333333333333,6.333333333333333,3.0,6.0
34,96.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,5.0,6.0,2.0,5.0,6.0,6.0,2.0,Strongly Agree,2.0,Strongly Agree,5.0,3.0,5.0,Strongly Agree,5.0,3.0,Strongly Agree,4.0,Strongly Agree,Strongly Agree,7 = Highly Satisfied,6.0,6.0,Very Frequently,2.0,Most Important,3.0,Least Important,1 -- 5 miles,Recall Ads,Male,1-2 Children at Home,35 - 49,155000.0,Strongly Agree,2.0,6.0,5.0,5.333333333333333,Strongly Agree,5.0,3.0
35,97.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,3.0,6.0,2.0,3.0,6.0,6.0,3.0,Strongly Agree,3.0,Strongly Agree,5.0,3.0,4.0,Strongly Agree,4.0,3.0,Strongly Agree,4.0,6.0,Strongly Agree,6.0,6.0,4.0,Very Frequently,3.0,Most Important,Least Important,2.0,Less than 1 mile,Recall Ads,Male,More Than 2 Children at Home,35 - 49,85000.0,Strongly Agree,2.6666666666666665,6.0,3.0,5.333333333333333,6.666666666666667,4.0,3.0
36,100.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,4.0,5.0,3.0,4.0,5.0,5.0,5.0,Strongly Agree,4.0,Strongly Agree,5.0,3.0,4.0,Strongly Agree,4.0,5.0,5.0,4.0,5.0,Strongly Agree,7 = Highly Satisfied,Highly Likely,6.0,Somewhat Frequently,Most Important,2.0,3.0,Least Important,More than 5 miles,Recall Ads,Female,More Than 2 Children at Home,35 - 49,145000.0,Strongly Agree,4.0,5.0,4.0,5.333333333333333,5.666666666666667,4.0,4.0
37,102.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,3.0,Strongly Agree,3.0,3.0,Strongly Agree,Strongly Agree,2.0,6.0,4.0,Strongly Agree,5.0,4.0,6.0,Strongly Agree,6.0,5.0,Strongly Agree,Strongly Agree,5.0,Strongly Agree,5.0,6.0,4.0,Somewhat Frequently,2.0,Most Important,3.0,Least Important,More than 5 miles,Recall Ads,Female,More Than 2 Children at Home,26 - 34,80000.0,6.666666666666667,3.0,Strongly Agree,3.0,6.333333333333333,6.333333333333333,6.0,4.5
38,104.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,Strongly Agree,4.0,3.0,Strongly Agree,4.0,5.0,4.0,Strongly Agree,4.0,Strongly Agree,5.0,2.0,3.0,Strongly Agree,3.0,2.0,6.0,4.0,5.0,Strongly Agree,4.0,4.0,4.0,Occasionally,2.0,Most Important,3.0,Least Important,Less than 1 mile,Recall Ads,Male,1-2 Children at Home,26 - 34,25000.0,Strongly Agree,3.6666666666666665,4.333333333333333,Strongly Agree,5.333333333333333,6.0,3.0,2.0
39,105.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,5.0,5.0,3.0,6.0,5.0,5.0,4.0,6.0,4.0,Strongly Agree,5.0,6.0,4.0,Strongly Agree,4.0,6.0,6.0,6.0,5.0,Strongly Agree,5.0,4.0,4.0,Very Frequently,3.0,Most Important,Least Important,2.0,Less than 1 mile,Recall Ads,Female,More Than 2 Children at Home,26 - 34,25000.0,6.666666666666667,3.6666666666666665,5.0,5.5,6.0,6.0,4.0,6.0
40,106.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,5.0,4.0,4.0,5.0,4.0,5.0,5.0,6.0,4.0,Strongly Agree,5.0,4.0,3.0,6.0,3.0,5.0,5.0,Strongly Agree,5.0,Strongly Agree,5.0,6.0,4.0,Somewhat Frequently,3.0,Most Important,Least Important,2.0,1 -- 5 miles,Recall Ads,Male,1-2 Children at Home,35 - 49,60000.0,6.666666666666667,4.333333333333333,4.333333333333333,5.0,6.333333333333333,5.333333333333333,3.0,4.5
41,107.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,5.0,5.0,2.0,Strongly Agree,5.0,5.0,4.0,Strongly Agree,5.0,4.0,5.0,4.0,4.0,Strongly Agree,4.0,4.0,6.0,4.0,3.0,4.0,6.0,6.0,6.0,Occasionally,3.0,Most Important,Least Important,2.0,More than 5 miles,Do Not Recall Ads,Male,No Children at Home,26 - 34,850000.0,6.0,3.6666666666666665,5.0,6.0,4.333333333333333,5.333333333333333,4.0,4.0
42,111.0,1.0,1.0,1.0,Jose's Southwestern Cafe,4.0,3.0,5.0,4.0,3.0,5.0,5.0,5.0,Strongly Agree,5.0,4.0,4.0,3.0,4.0,6.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,3.0,2.0,Occasionally,3.0,Most Important,Least Important,2.0,More than 5 miles,Do Not Recall Ads,Male,No Children at Home,35 - 49,80000.0,5.0,4.666666666666667,5.0,3.0,4.0,4.666666666666667,4.0,3.0
43,112.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,5.0,6.0,3.0,6.0,5.0,5.0,5.0,Strongly Agree,5.0,Strongly Agree,5.0,4.0,5.0,Strongly Agree,4.0,5.0,5.0,4.0,3.0,Strongly Agree,7 = Highly Satisfied,6.0,6.0,Very Frequently,Most Important,2.0,3.0,Least Important,1 -- 5 miles,Do Not Recall Ads,Female,1-2 Children at Home,35 - 49,125000.0,Strongly Agree,4.333333333333333,5.333333333333333,5.5,5.333333333333333,5.0,4.5,4.5
44,118.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,5.0,5.0,3.0,5.0,5.0,5.0,3.0,Strongly Agree,5.0,Strongly Agree,5.0,4.0,4.0,Strongly Agree,4.0,3.0,6.0,4.0,3.0,Strongly Agree,4.0,3.0,2.0,Occasionally,Most Important,2.0,3.0,Least Important,1 -- 5 miles,Do Not Recall Ads,Male,1-2 Children at Home,50 - 59,28000.0,Strongly Agree,3.6666666666666665,5.0,5.0,5.333333333333333,5.333333333333333,4.0,3.5
45,122.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,4.0,4.0,4.0,5.0,4.0,5.0,4.0,Strongly Agree,4.0,Strongly Agree,5.0,4.0,3.0,6.0,3.0,4.0,6.0,4.0,5.0,Strongly Agree,5.0,4.0,3.0,Occasionally,Least Important,Most Important,2.0,3.0,More than 5 miles,Recall Ads,Male,No Children at Home,35 - 49,75000.0,Strongly Agree,4.0,4.333333333333333,4.5,5.333333333333333,5.666666666666667,3.0,4.0
46,123.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,Strongly Agree,Strongly Agree,4.0,Strongly Agree,Strongly Agree,6.0,3.0,Strongly Agree,3.0,Strongly Agree,5.0,6.0,6.0,6.0,6.0,5.0,Strongly Agree,4.0,6.0,Strongly Agree,7 = Highly Satisfied,6.0,5.0,Occasionally,Most Important,2.0,3.0,Least Important,1 -- 5 miles,Recall Ads,Female,1-2 Children at Home,50 - 59,100000.0,Strongly Agree,3.3333333333333335,6.666666666666667,Strongly Agree,5.333333333333333,6.333333333333333,6.0,5.5
47,126.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,6.0,6.0,2.0,6.0,6.0,6.0,3.0,Strongly Agree,3.0,Strongly Agree,5.0,5.0,4.0,Strongly Agree,4.0,5.0,Strongly Agree,4.0,6.0,Strongly Agree,6.0,6.0,5.0,Very Frequently,3.0,2.0,Least Important,Most Important,Less than 1 mile,Recall Ads,Male,1-2 Children at Home,35 - 49,80000.0,Strongly Agree,2.6666666666666665,6.0,6.0,5.333333333333333,6.666666666666667,4.0,5.0
