,ID,Company,Prod_Quality,Service_Quality,Price_Value,Satisfaction,Repurchase,Recommend,Recommend_Site,Satisfaction_With,Variety_Prods,Variety_Prods_Needs,Ease_Navigation,Ease_Prods_Needs,Availability_Prods,Discounts,Info_Prods,Ease_Comparing,Ease_Special_Needs,Ease_Cart,Ease_Check_Out,Security,Delivery,Delivery_Range,Order_Tracking,Delivery_Time,Fidelity_Prods,Feedback,Return_Policies,Channel_Pref,Pay_Pref,Pay_Pref_Other,Read_Reviews,Interacted_Seller,Satisfaction_Reviews,Satisfaction_Channels_Seller,No_Purchases_6m,Amount_Spent_3m,Shop_Behavior,Age,Race,Employment,Income_Personal,Income_House,Ed,No_Children,Marital,Gender,House_Type,Date_Interview
52,199,CAROUSELL,7,6,7,6,7,7,0,7,7,8,8,8,6,6,6,6,6,8,8,7,7,97,97,6,8,7,97,1,5, ,1,1,6,7,2,100,1,29,1,1,3,5,8,2,2,1,3,02/06/2018
53,203,EBAY,6,8,8,8,6,5,0,8,7,7,7,8,8,7,7,8,97,7,8,8,7,8,8,7,7,8,7,3,2, ,1,1,7,7,1,46,1,21,2,5, ,6,7,99,1,2,3,02/06/2018
54,208,ZALORA,8,7,8,7,8,6,0,8,8,7,9,8,8,9,7,7,8,8,9,8,8,7,8,9,9,7,8,1,2, ,2,1, ,6,1,103,2,23,1,5, ,5,7,99,1,1,2,02/08/2018
55,212,CAROUSELL,7,7,7,7,8,8,0,8,7,7,9,7,7,6,6,7,9,8,8,7,8,6,97,9,7,8,6,1,5, ,1,1,7,9,3,180,2,36,1,1,2,5,7,1,2,1,2,02/08/2018
56,213,EZBUY,6,6,6,7,8,6,0,7,8,8,6,6,7,9,6,6,6,8,8,7,8,6,8,6,7,7,6,1,6,Bank Transfer (Ibanking),1,2,8, ,2,140,2,20,1,5, ,97,7,99,1,2,2,02/08/2018
57,214,ZALORA,8,7,8,7,7,6,0,8,9,7,8,6,6,7,6,6,6,8,7,6,8,6,6,9,7,8,8,1,1, ,2,2, , ,2,129,2,27,1,1,3,5,7,2,2,1,2,02/08/2018
58,215,ZALORA,6,6,6,8,8,6,0,9,8,7,7,6,8,6,6,6,97,7,8,8,6,6,7,9,7,8,9,1,1, ,2,2, , ,3,160,3,27,1,1,3,5,8,3,2,1,2,02/08/2018
59,217,CAROUSELL,7,6,8,7,7,7,0,7,8,8,7,6,6,7,6,6,9,8,7,7,6,6,97,7,7,8,97,1,5, ,1,1,8,9,4,80,3,28,1,1,3,6,8,99,1,1,2,02/08/2018
60,224,EBAY,7,6,8,8,8,6,0,8,9,7,6,7,7,8,6,8,9,7,8,8,7,7,7,8,9,7,6,2,6,Debit Card,1,1,8,8,3,85,3,26,1,1,3,5,7,4,2,1,3,2/26/2018
61,234,EBAY,7,8,8,8,7,5,0,8,7,8,7,8,8,7,7,7,97,7,7,7,8,7,7,8,8,8,7,3,2, ,1,2,6, ,1,105,1,29,1,1,3,6,8,99,1,2,4,1/29/2018
62,243,TAOBAO/TMALL,7,6,7,8,7,6,0,8,9,8,7,6,8,7,7,8,7,8,8,9,7,8,6,7,6,7,6,1,1, ,1,2,6, ,1,130,1,43,1,3, ,98,9,3,2,2,4,02/08/2018
63,254,CAROUSELL,7,6,8,7,7,6,0,7,8,8,9,7,8,7,7,6,6,8,7,7,7,6,6,6,7,6,6,1,5, ,2,1, ,6,6,60,3,26,1,1,3,5,7,3,2,1,3,2/28/2018
64,257,CAROUSELL,8,7,8,7,7,6,0,8,8,6,7,7,6,7,6,6,97,6,6,6,6,6,97,7,7,6,97,1,5, ,1,1,7,8,2,110,1,31,1,1,3,5,8,3,2,1,3,2/28/2018
65,264,FAVE,7,6,8,8,7,6,0,7,7,8,9,7,8,8,6,8,97,7,8,6,6,9,97,7,7,8,6,1,1, ,1,2,8, ,8,50,3,30,1,1,2,4,7,2,2,1,2,2/26/2018
66,276,EZBUY,8,6,7,8,8,7,1,8,9,7,7,9,8,8,7,8,7,9,8,8,8,8,8,7,8,8,7,1,1, ,1,2,8, ,4,60,3,31,1,1,3,6,8,99,1,2,3,02/12/2018
67,278,EBAY,8,6,7,8,7,6,0,8,7,8,6,6,7,8,8,8,6,6,8,8,6,7,6,6,8,7,7,3,2, ,1,1,6,6,2,120,1,40,1,1,4,6,8,4,2,2,3,02/12/2018
68,279,CAROUSELL,7,6,8,8,8,6,0,8,7,7,7,8,8,8,8,8,9,7,8,8,8,97,97,7,7,8,97,1,5, ,1,1,7,8,2,90,1,28,1,1,4,6,8,3,2,1,3,02/12/2018
69,281,ALIEXPRESS,8,7,9,8,8,6,0,7,9,7,8,6,7,7,8,6,7,9,7,7,8,6,6,8,7,8,8,1,6,Alipay,2,1, ,8,3,110,3,37,5,1,5,6,8,1,2,1,3,02/12/2018
70,285,AMAZON,7,6,7,7,6,6,0,7,8,9,7,7,8,6,9,7,6,8,8,9,7,6,7,8,8,9,6,3,1, ,1,1,8,8,1,180,1,37,2,1,4,6,8,2,2,1,3,02/01/2018
71,294,QOO10,7,9,8,8,8,6,0,8,9,8,7,7,6,6,8,7,7,9,8,6,7,6,6,7,8,7,6,1,1, ,1,1,8,8,6,90,3,29,1,1,2,97,8,99,1,2,4,1/30/2018
72,299,ZALORA,8,10,8,8,8,6,0,8,9,8,7,6,8,8,7,6,6,7,8,7,6,7,7,8,7,6,6,1,5, ,2,1, ,9,3,139,3,36,3,1,5,5,7,99,1,1,4,1/30/2018
73,302,QOO10,7,7,7,7,8,7,0,7,8,6,6,8,7,7,8,8,6,7,9,7,8,7,6,8,8,7,6,1,6,Fund Transfer,1,1,6,9,6,80,3,48,1,3, ,5,7,4,2,2,4,1/30/2018
74,303,QOO10,8,7,7,7,8,7,0,8,6,7,6,6,7,6,8,7,6,9,7,6,6,6,6,8,7,8,6,1,1, ,1,2,8, ,2,115,1,32,3,1,4,6,8,99,1,1,4,2/27/2018
75,305,AMAZON,7,6,8,7,7,7,1,7,7,9,7,8,7,9,8,7,97,8,7,6,7,6,6,8,7,7,6,2,1, ,1,2,7, ,1,160,1,42,1,1,4,5,8,3,2,1,4,2/27/2018
76,316,EBAY,7,8,9,8,6,5,0,7,9,8,8,9,8,8,8,8,7,7,7,8,7,7,8,7,7,7,8,2,1, ,1,1,6,8,2,79,1,42,1,1,6,6,8,1,2,1,3,1/31/2018
77,320,ZALORA,8,10,7,8,8,8,1,8,9,9,9,8,7,10,8,6,6,9,9,7,8,8,8,10,9,7,9,1,1, ,2,2, , ,2,100,1,44,1,1,4,6,9,3,2,2,3,02/01/2018
78,324,QOO10,8,7,7,7,8,6,0,7,9,7,8,8,7,6,7,6,8,7,7,8,6,7,8,8,7,9,7,3,1, ,1,1,7,7,5,30,3,52,1,1,3,5,7,3,2,2,3,02/01/2018
79,328,CAROUSELL,8,7,8,7,8,6,0,8,8,7,7,7,8,7,7,6,97,8,7,7,97,7,97,7,8,8,97,1,5, ,1,1,7,7,1,170,1,29,2,1,3,5,8,3,2,2,2,2/21/2018
80,330,LAZADA,8,9,8,8,8,6,0,9,8,8,7,6,8,7,7,6,6,8,9,9,7,6,8,9,7,8,8,2,1, ,1,2,8, ,1,148,1,33,1,1,3,5,7,2,2,1,2,2/21/2018
81,331,ZALORA,8,9,6,8,8,6,0,9,7,7,9,8,6,8,7,6,6,7,7,8,7,6,7,9,7,8,8,1,1, ,2,1, ,10,3,110,3,28,1,1,3,5,7,4,2,1,2,2/21/2018
82,336,FAVE,8,6,8,7,7,5,0,7,8,9,7,7,8,6,6,8,8,9,8,7,97,97,97,7,7,8,6,1,1, ,1,1,6,8,8,30,3,37,1,1,3,4,7,3,2,1,3,2/20/2018
83,337,ZALORA,7,10,8,9,9,7,0,8,8,9,10,9,10,8,9,10,10,9,8,9,10,10,9,9,9,10,9,1,2, ,2,2, , ,2,120,1,36,1,1,4,4,4,1,2,1,3,2/20/2018
84,346,QOO10,7,6,8,7,8,6,0,7,9,8,9,7,7,6,6,6,7,8,8,7,7,6,6,7,8,8,6,1,3, ,1,2,7, ,3,40,2,22,1,5, ,97,5,99,1,2,4,2/19/2018
85,348,AMAZON,8,8,6,8,7,5,0,8,8,8,6,7,6,8,6,9,7,7,7,8,6,6,8,6,6,7,97,3,1, ,1,2,9, ,2,180,1,47,3,1,4,5,8,2,2,1,4,2/19/2018
86,353,TAOBAO/TMALL,9,7,9,7,7,6,0,8,7,7,6,8,7,9,7,8,6,6,7,9,7,8,6,6,6,8,6,2,1, ,1,2,6, ,2,230,1,41,1,3, ,5,8,2,2,2,4,02/08/2018
87,361,ZALORA,8,9,7,8,7,8,1,8,9,8,7,7,8,8,7,6,8,8,7,8,9,6,7,7,8,8,9,1,1, ,2,2, , ,3,120,3,36,1,1,4,6,8,3,2,2,4,02/08/2018
88,362,AMAZON,8,7,7,7,7,6,0,7,7,8,7,9,7,6,6,6,7,8,7,9,7,6,8,8,9,7,6,2,1, ,1,2,8, ,1,190,1,33,1,1,3,4,7,2,2,2,3,2/21/2018
89,367,QOO10,7,6,8,7,7,5,0,8,9,8,7,7,6,8,7,6,6,8,7,8,6,6,6,7,7,6,6,1,6,Paylah,1,1,7,7,3,90,3,30,1,1,2,4,7,3,2,1,3,2/21/2018
90,373,TAOBAO/TMALL,8,7,8,8,8,5,0,8,7,9,7,6,8,6,6,6,6,8,8,9,7,8,6,6,8,7,6,3,1, ,1,1,6,9,2,120,1,34,1,1,2,4,7,2,2,1,2,03/06/2018
91,374,ALIEXPRESS,8,7,7,7,6,5,0,7,8,8,8,7,6,8,7,8,6,7,9,8,7,7,6,6,8,7,6,2,1, ,1,2,7, ,1,120,3,54,1,1,5,6,8,2,2,1,2,03/06/2018
92,378,FAVE,7,8,7,7,7,7,0,7,8,8,7,6,8,6,6,6,7,8,7,6,7,8,97,7,6,6,97,1,1, ,2,2, , ,5,60,1,42,1,1,4,5,8,2,2,1,2,03/06/2018
93,381,TAOBAO/TMALL,7,6,7,7,7,6,0,7,9,8,8,8,6,6,7,6,6,8,9,7,7,8,6,7,7,6,6,1,1, ,1,2,6, ,3,100,3,30,1,1,3,5,7,3,2,1,3,03/05/2018
94,384,TAOBAO/TMALL,7,7,8,8,7,7,1,8,9,9,7,7,8,6,6,6,7,8,7,6,6,8,8,6,6,9,6,1,1, ,1,2,8, ,6,80,3,44,1,1,5,6,8,3,2,2,3,03/05/2018
95,389,EBAY,7,6,8,7,7,5,0,8,7,7,9,9,6,7,6,9,97,8,8,7,7,6,6,6,8,9,7,2,2, ,2,2, , ,2,175,1,49,1,1,4,6,8,2,2,1,4,03/06/2018
96,391,AMAZON,7,7,7,8,6,7,0,8,7,8,6,6,8,6,7,9,6,7,8,9,7,6,8,8,9,8,6,3,1, ,1,1,7,7,1,200,1,34,1,1,4,5,7,2,2,2,4,03/06/2018
97,398,CAROUSELL,7,8,8,8,7,7,1,8,6,7,7,8,6,7,7,8,8,7,8,6,6,7,97,7,9,7,6,1,6,Bank Transfer to seller,1,1,6,9,1,1300,1,29,1,1,98,98,7,1,2,2,4,1/31/2018
98,400,TAOBAO/TMALL,7,6,8,7,8,6,0,7,9,8,8,7,7,6,6,6,97,8,6,7,7,6,6,8,6,7,9,1,1, ,1,1,6,7,3,200,3,32,1,1,5,7,8,3,2,1,4,1/31/2018
99,405,CAROUSELL,8,7,6,7,7,6,0,8,7,7,6,6,8,8,7,6,6,8,8,6,7,9,97,8,6,7,6,1,5, ,1,1,7,9,2,170,1,40,1,1,4,7,8,3,2,2,4,1/31/2018
100,408,ZALORA,8,9,8,8,7,6,0,8,8,8,6,6,7,8,7,6,6,6,8,6,6,6,8,8,7,7,8,1,1, ,2,1, ,7,2,169,1,33,1,1,3,7,8,99,1,1,3,1/29/2018
101,409,ZALORA,7,9,7,8,7,7,1,8,7,7,7,6,6,8,6,6,7,8,7,6,7,6,7,8,7,6,8,1,2, ,2,2, , ,3,150,1,30,2,1,1,4,7,4,2,2,3,1/29/2018
102,411,FAVE,8,9,7,9,8,8,1,9,9,9,9,9,9,9,8,10,10,8,8,9,10,9,97,8,9,8,10,1,1, ,1,1,10,8,6,60,3,32,1,1,3,5,7,3,2,1,3,1/29/2018
103,412,TAOBAO/TMALL,7,6,8,7,8,6,0,7,9,8,9,8,8,9,7,6,97,7,7,8,7,9,6,6,7,8,3,3,1, ,1,2,7, ,3,300,3,31,1,1,4,5,6,4,2,1,3,1/29/2018
104,419,FAVE,7,6,7,6,7,7,0,7,8,7,8,6,7,8,6,6,7,7,8,8,6,97,7,7,6,6,7,1,1, ,2,1, ,6,6,50,3,47,5,1,3,5,7,3,2,1,3,02/08/2018
105,424,AMAZON,8,9,8,7,7,6,0,7,7,9,7,8,7,7,6,8,9,7,7,8,7,6,8,7,8,8,6,3,1, ,1,2,7, ,1,160,1,28,1,1,4,5,8,3,2,1,3,02/08/2018
106,429,AMAZON,7,6,8,8,7,7,0,8,7,8,6,7,6,7,7,9,6,8,8,7,6,7,8,7,8,8,6,3,1, ,1,2,7, ,3,150,3,47,1,1,3,5,7,5,2,1,2,03/08/2018
107,432,QOO10,7,6,8,8,9,8,0,7,9,7,8,8,7,7,8,6,6,7,9,7,8,6,6,7,8,8,7,1,1, ,1,1,6,8,3,50,1,28,1,1,4,5,8,2,2,2,2,03/08/2018
108,435,ZALORA,7,7,8,8,8,7,1,9,7,8,9,9,7,6,8,7,8,8,7,7,9,6,8,9,8,7,8,1,1, ,1,2,8, ,3,130,3,40,1,1,2,4,6,4,2,2,4,02/06/2018
109,438,AMAZON,9,9,8,9,9,7,1,9,7,9,8,7,8,8,9,9,9,8,9,9,9,8,9,8,8,7,7,3,1, ,1,2,9, ,1,196,1,42,1,3, ,8,7,4,2,2,4,02/06/2018
110,440,LAZADA,7,7,6,7,8,7,0,8,7,7,8,6,8,7,6,8,97,7,7,8,7,8,8,7,8,7,6,2,1, ,1,2,8, ,3,145,3,31,3,1,2,6,7,99,1,1,4,02/06/2018
111,443,QOO10,7,8,8,8,8,8,1,7,9,8,7,7,9,8,7,6,6,8,9,8,7,6,7,7,8,8,6,1,1, ,1,1,9,7,3,80,3,34,1,1,2,4,7,2,2,1,3,2/21/2018
112,448,LAZADA,8,8,9,7,7,6,0,8,9,9,7,7,9,7,8,8,6,8,9,6,6,8,9,7,8,9,8,2,1, ,1,2,8, ,3,120,1,46,1,1,2,5,7,99,1,1,3,2/21/2018
113,455,RAKUTEN,8,8,8,7,6,7,0,8,7,8,9,7,7,8,9,6,6,8,7,7,9,8,8,7,7,8,97,2,2, ,2,2, , ,1,106,1,31,1,1,4,6,8,2,2,2,4,02/05/2018
114,456,AMAZON,7,8,7,7,8,7,1,8,8,9,7,8,8,6,8,9,7,7,8,7,9,8,8,7,8,7,7,3,1, ,1,2,8, ,1,160,1,38,1,1,1,4,7,3,2,2,4,02/05/2018
115,468,CAROUSELL,7,6,8,7,6,5,0,7,8,8,6,6,7,7,7,8,97,8,8,6,7,6,97,8,7,8,97,1,5, ,1,1,6,6,5,60,3,36,1,1,3,6,8,99,1,2,2,2/22/2018
116,469,QOO10,7,6,7,7,6,5,0,7,7,8,6,6,6,8,7,6,6,8,8,9,7,7,6,7,8,8,6,3,1, ,1,2,6, ,3,45,2,38,2,1,3,4,6,3,2,1,2,2/20/2018
117,470,AMAZON,8,6,7,6,6,5,0,7,7,8,8,8,7,6,6,8,6,6,7,7,6,6,8,8,7,8,8,3,1, ,1,1,8,8,2,180,1,29,2,1,2,4,7,99,1,1,2,2/20/2018
